Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SP,3500105,Adamantina,Centro,centro,-21.6881553,-51.0760813,brasil_aberto,True
SP,3500105,Adamantina,Jardim Adamantina,jardim adamantina,,,brasil_aberto,True
SP,3500105,Adamantina,Jardim Ipiranga,jardim ipiranga,,,brasil_aberto,True
SP,3500105,Adamantina,Vila Jamil de Lima,vila jamil de lima,,,brasil_aberto,True
SP,3500105,Adamantina,Vila Olivero,vila olivero,,,brasil_aberto,True
SP,3500204,Adolfo,Centro,centro,,,brasil_aberto,True
SP,3500303,Aguaí,Centro,centro,-22.0589568,-46.9785655,brasil_aberto,True
SP,3500303,Aguaí,Chácara Bela Vista,chacara bela vista,-22.0632635,-46.9801879,brasil_aberto,True
SP,3500303,Aguaí,Chácara Boa Sorte,chacara boa sorte,-19.78783035,-43.90624237,brasil_aberto,True
SP,3500303,Aguaí,Chácara São Francisco,chacara sao francisco,-23.1402311,-46.9192117,brasil_aberto,True
SP,3500303,Aguaí,Cidade Nova,cidade nova,-22.04589844,-46.97745895,brasil_aberto,True
SP,3500303,Aguaí,Condomínio Terras de Aguaí,condominio terras de aguai,-22.05986214,-46.96393967,brasil_aberto,True
SP,3500303,Aguaí,Condomínio Terras de São Paulo,condominio terras de sao paulo,-22.057964,-46.97785,brasil_aberto,True
SP,3500303,Aguaí,Conjunto Habitacional Benedito Mamede Junior,conjunto habitacional benedito mamede junior,-22.05652237,-46.96241379,brasil_aberto,True
SP,3500303,Aguaí,Curtume,curtume,-22.0655064,-46.9702908,brasil_aberto,True
SP,3500303,Aguaí,Distrito Industrial II Luiz Carlos da Costa,distrito industrial ii luiz carlos da costa,-22.0638699,-46.9573339,brasil_aberto,True
SP,3500303,Aguaí,Distrito Industrial Juliano Sereni,distrito industrial juliano sereni,-22.0747217,-46.9855186,brasil_aberto,True
SP,3500303,Aguaí,Diva Assad,diva assad,-22.01119232,-46.97443008,brasil_aberto,True
SP,3500303,Aguaí,Gallardo,gallardo,-22.057964,-46.97785,brasil_aberto,True
SP,3500303,Aguaí,Gleba Bartok,gleba bartok,-22.065959,-46.974109,brasil_aberto,True
SP,3500303,Aguaí,Gleba Godoy,gleba godoy,-22.06566238,-46.97481537,brasil_aberto,True
SP,3500303,Aguaí,Henrique Pires,henrique pires,-22.0646571,-46.9732095,brasil_aberto,True
SP,3500303,Aguaí,Jardim Aeroporto,jardim aeroporto,-22.08162117,-46.97358704,brasil_aberto,True
SP,3500303,Aguaí,Jardim Bela Vista,jardim bela vista,-22.057964,-46.97785,brasil_aberto,True
SP,3500303,Aguaí,Jardim Center City,jardim center city,-22.0632441,-46.9843738,brasil_aberto,True
SP,3500303,Aguaí,Jardim Flamboyant,jardim flamboyant,-22.057964,-46.97785,brasil_aberto,True
SP,3500303,Aguaí,Jardim Itália,jardim italia,-22.0644414,-46.9726474,brasil_aberto,True
SP,3500303,Aguaí,Jardim Novaguaí,jardim novaguai,-22.06653023,-46.97049713,brasil_aberto,True
SP,3500303,Aguaí,Jardim Planalto,jardim planalto,-22.0627231,-46.968968,brasil_aberto,True
SP,3500303,Aguaí,Jardim Primavera,jardim primavera,-22.05455017,-46.98072052,brasil_aberto,True
SP,3500303,Aguaí,Jardim Santa Maria,jardim santa maria,-22.0661134,-46.9689797,brasil_aberto,True
SP,3500303,Aguaí,Jardim Santa Úrsula,jardim santa ursula,-22.0632635,-46.9801879,brasil_aberto,True
SP,3500303,Aguaí,Jardim Vista da Colina,jardim vista da colina,-22.03883171,-46.98262024,brasil_aberto,True
SP,3500303,Aguaí,Jardim Vista da Colina II,jardim vista da colina ii,-22.04111671,-46.9817009,brasil_aberto,True
SP,3500303,Aguaí,Jardim das Flores,jardim das flores,-22.89770699,-43.68140793,brasil_aberto,True
SP,3500303,Aguaí,Jardim de Éden,jardim de eden,-21.8865847,-46.8612437,brasil_aberto,True
SP,3500303,Aguaí,Jardim dos Alpes,jardim dos alpes,-22.04589081,-46.98265839,brasil_aberto,True
SP,3500303,Aguaí,José Lopes da Silva Filho,jose lopes da silva filho,-22.0815413,-46.9735426,brasil_aberto,True
SP,3500303,Aguaí,Lagoa Seca,lagoa seca,-22.0560722,-46.9634429,brasil_aberto,True
SP,3500303,Aguaí,Loteamento Tarcízio Alonso,loteamento tarcizio alonso,,,brasil_aberto,True
SP,3500303,Aguaí,Nova América,nova america,-22.0655587,-46.9661039,brasil_aberto,True
SP,3500303,Aguaí,Novo Milênio,novo milenio,-22.0452154,-46.9809107,brasil_aberto,True
SP,3500303,Aguaí,Parque CECAP,parque cecap,-22.06593132,-46.96866608,brasil_aberto,True
SP,3500303,Aguaí,Parque Ecológico Centenário,parque ecologico centenario,-22.0565227,-46.9624154,brasil_aberto,True
SP,3500303,Aguaí,Parque Interlagos,parque interlagos,-22.0559548,-46.9813186,brasil_aberto,True
SP,3500303,Aguaí,Parque Jardim Dona Carlota Rehder,parque jardim dona carlota rehder,-22.0593609,-46.9748981,brasil_aberto,True
SP,3500303,Aguaí,Parque Miguelito,parque miguelito,-22.0562531,-46.9691084,brasil_aberto,True
SP,3500303,Aguaí,Parque das Laranjeiras I,parque das laranjeiras i,-22.057964,-46.97785,brasil_aberto,True
SP,3500303,Aguaí,Parque das Laranjeiras II,parque das laranjeiras ii,-22.623789,-47.1646314,brasil_aberto,True
SP,3500303,Aguaí,Parque das Palmeiras,parque das palmeiras,-22.04223061,-46.97682571,brasil_aberto,True
SP,3500303,Aguaí,Poletti,poletti,-22.0565227,-46.9624154,brasil_aberto,True
SP,3500303,Aguaí,Portal dos Lagos,portal dos lagos,-22.0565227,-46.9624154,brasil_aberto,True
SP,3500303,Aguaí,Rancho Alegre,rancho alegre,-22.07098007,-46.99211884,brasil_aberto,True
SP,3500303,Aguaí,Raul Pereira,raul pereira,-22.0627231,-46.968968,brasil_aberto,True
SP,3500303,Aguaí,Residencial Monte Líbano,residencial monte libano,-22.0361755,-46.9812634,brasil_aberto,True
SP,3500303,Aguaí,Residencial Monte Líbano II,residencial monte libano ii,-22.0590487,-46.9643217,brasil_aberto,True
SP,3500303,Aguaí,Siriri,siriri,-22.0481716,-46.9802468,brasil_aberto,True
SP,3500303,Aguaí,Vila Bom Gosto,vila bom gosto,-22.06325531,-46.9805603,brasil_aberto,True
SP,3500303,Aguaí,Vila Braga,vila braga,-22.05899239,-46.98251343,brasil_aberto,True
SP,3500303,Aguaí,Vila Montevidéu,vila montevideu,-22.0493213,-46.97356,brasil_aberto,True
SP,3500303,Aguaí,Vila Nova Aparecida,vila nova aparecida,-22.0619986,-46.9681507,brasil_aberto,True
SP,3500303,Aguaí,Vila Paraíso,vila paraiso,-22.37673187,-46.9354248,brasil_aberto,True
SP,3500303,Aguaí,Vila Regina,vila regina,-23.58399773,-48.07328415,brasil_aberto,True
SP,3500303,Aguaí,Vila Rehder,vila rehder,-22.06656456,-46.97029877,brasil_aberto,True
SP,3500303,Aguaí,Vila Senador Teotônio Vilela,vila senador teotonio vilela,-22.04521561,-46.98091125,brasil_aberto,True
SP,3500303,Aguaí,Vila São José,vila sao jose,-23.18192482,-45.8859787,brasil_aberto,True
SP,3500303,Aguaí,Área Rural de Aguaí,area rural de aguai,-19.70093918,-40.61692047,brasil_aberto,True
SP,3500709,Agudos,Centro,centro,-22.46986961,-48.98727417,brasil_aberto,True
SP,3500709,Agudos,Centro (Domélia),centro (domelia),-22.7209986,-49.3099133,brasil_aberto,True
SP,3500709,Agudos,Chácara Alvorada,chacara alvorada,-22.4720402,-48.9839756,brasil_aberto,True
SP,3500709,Agudos,Chácaras City,chacaras city,-22.3918565,-49.0145016,brasil_aberto,True
SP,3500709,Agudos,Chácaras Meu Cantinho,chacaras meu cantinho,-22.3919895,-49.0130857,brasil_aberto,True
SP,3500709,Agudos,Chácaras Nova Califórnia,chacaras nova california,-22.39067459,-49.00912857,brasil_aberto,True
SP,3500709,Agudos,Distrito Industrial Hatsuta,distrito industrial hatsuta,-22.43886757,-48.99025345,brasil_aberto,True
SP,3500709,Agudos,Distrito Industrial I,distrito industrial i,-22.4741155,-48.9901652,brasil_aberto,True
SP,3500709,Agudos,Jardim Bela Vista,jardim bela vista,-22.4826377,-48.9945765,brasil_aberto,True
SP,3500709,Agudos,Jardim Canaã,jardim canaa,-22.45791435,-48.98936462,brasil_aberto,True
SP,3500709,Agudos,Jardim Cruzeiro,jardim cruzeiro,-22.44902802,-48.99131012,brasil_aberto,True
SP,3500709,Agudos,Jardim Danúbio,jardim danubio,-22.4777421,-48.9715199,brasil_aberto,True
SP,3500709,Agudos,Jardim Europa,jardim europa,-22.47200203,-48.96621704,brasil_aberto,True
SP,3500709,Agudos,Jardim Maria Luiza,jardim maria luiza,-22.4701185,-48.9966743,brasil_aberto,True
SP,3500709,Agudos,Jardim Márcia I,jardim marcia i,-22.46177864,-48.99496841,brasil_aberto,True
SP,3500709,Agudos,Jardim Márcia II,jardim marcia ii,-22.4610039,-48.995609,brasil_aberto,True
SP,3500709,Agudos,Jardim Nilce,jardim nilce,-22.47236252,-48.97792816,brasil_aberto,True
SP,3500709,Agudos,Jardim Odilla Propheta Sormani,jardim odilla propheta sormani,-22.4768824,-48.9790173,brasil_aberto,True
SP,3500709,Agudos,Jardim Pedro Andrucioli,jardim pedro andrucioli,-22.4740489,-48.9750203,brasil_aberto,True
SP,3500709,Agudos,Jardim Santa Angelina,jardim santa angelina,-22.4555803,-48.9920872,brasil_aberto,True
SP,3500709,Agudos,Jardim Santa Cândida,jardim santa candida,-22.4790287,-48.99704361,brasil_aberto,True
SP,3500709,Agudos,Jardim Santo Antônio,jardim santo antonio,-22.46266365,-48.99185944,brasil_aberto,True
SP,3500709,Agudos,Jardim São Vicente I,jardim sao vicente i,-22.4848279,-48.9928082,brasil_aberto,True
SP,3500709,Agudos,Jardim São Vicente II,jardim sao vicente ii,-23.5159874,-46.4284935,brasil_aberto,True
SP,3500709,Agudos,Jardim Vienense,jardim vienense,-22.47774124,-48.97151947,brasil_aberto,True
SP,3500709,Agudos,Núcleo Doutor João Ferreira Silveira,nucleo doutor joao ferreira silveira,-22.46660614,-48.96627045,brasil_aberto,True
SP,3500709,Agudos,Núcleo Vereador Mário Campesato,nucleo vereador mario campesato,-22.47182274,-48.97113419,brasil_aberto,True
SP,3500709,Agudos,Parque Pampulha,parque pampulha,-22.47200203,-48.96621704,brasil_aberto,True
SP,3500709,Agudos,Parque Santo Antônio,parque santo antonio,-22.48762894,-48.99464035,brasil_aberto,True
SP,3500709,Agudos,Parque São Miguel,parque sao miguel,-22.47688293,-48.97901917,brasil_aberto,True
SP,3500709,Agudos,Recanto dos Nobres I,recanto dos nobres i,-22.39626312,-49.01517487,brasil_aberto,True
SP,3500709,Agudos,Residencial Bem Viver,residencial bem viver,,,brasil_aberto,True
SP,3500709,Agudos,Residencial Centenário Park,residencial centenario park,-22.4678353,-48.9715539,brasil_aberto,True
SP,3500709,Agudos,Residencial Parque Smeralda,residencial parque smeralda,-22.46091652,-48.98524094,brasil_aberto,True
SP,3500709,Agudos,Residencial e Comercial Sant'anna,residencial e comercial sant'anna,-22.463735,-48.9883729,brasil_aberto,True
SP,3500709,Agudos,Vale dos Pinheiros,vale dos pinheiros,-22.4741155,-48.9901652,brasil_aberto,True
SP,3500709,Agudos,Vila Andreotti,vila andreotti,-22.47438622,-48.98724747,brasil_aberto,True
SP,3500709,Agudos,Vila Avato,vila avato,-22.4768824,-48.9790173,brasil_aberto,True
SP,3500709,Agudos,Vila Honorina,vila honorina,-22.46266365,-48.99185944,brasil_aberto,True
SP,3500709,Agudos,Vila Malvina,vila malvina,-22.46556091,-48.98814392,brasil_aberto,True
SP,3500709,Agudos,Vila Nossa Senhora Aparecida,vila nossa senhora aparecida,-22.47879982,-48.99267578,brasil_aberto,True
SP,3500709,Agudos,Vila Professor Simões,vila professor simoes,-22.47675133,-48.99149323,brasil_aberto,True
SP,3500709,Agudos,Vila Santa Cecilia,vila santa cecilia,-22.46986961,-48.98727417,brasil_aberto,True
SP,3500709,Agudos,Vila Santa Terezinha,vila santa terezinha,-22.46986961,-48.98727417,brasil_aberto,True
SP,3500709,Agudos,Vila São Faustino,vila sao faustino,-22.46887207,-48.99383545,brasil_aberto,True
SP,3500709,Agudos,Área Rural de Agudos,area rural de agudos,-22.4741155,-48.9901652,brasil_aberto,True
SP,3500758,Alambari,Centro,centro,,,brasil_aberto,True
SP,3500808,Alfredo Marcondes,Centro,centro,,,brasil_aberto,True
SP,3500907,Altair,Centro,centro,,,brasil_aberto,True
SP,3500907,Altair,Suinana,suinana,,,brasil_aberto,True
SP,3501004,Altinópolis,Centro,centro,,,brasil_aberto,True
SP,3501004,Altinópolis,Quinta da Boa Vista,quinta da boa vista,-21.0222792,-47.3717451,brasil_aberto,True
SP,3501004,Altinópolis,Residencial Armando Vicentini,residencial armando vicentini,,,brasil_aberto,True
SP,3501103,Alto Alegre,Centro,centro,,,brasil_aberto,True
SP,3501103,Alto Alegre,Jatobá,jatoba,,,brasil_aberto,True
SP,3501103,Alto Alegre,São Martinho D'Oeste,sao martinho d'oeste,,,brasil_aberto,True
SP,3501152,Alumínio,Santa Luzia,santa luzia,,,brasil_aberto,True
SP,3501509,Alvinlândia,Centro,centro,,,brasil_aberto,True
SP,3501608,Americana,Antônio Zanaga,antonio zanaga,-22.70272255,-47.30138016,brasil_aberto,True
SP,3501608,Americana,Antônio Zanaga I,antonio zanaga i,-22.70218468,-47.29296112,brasil_aberto,True
SP,3501608,Americana,Antônio Zanaga II,antonio zanaga ii,-22.70339012,-47.28852081,brasil_aberto,True
SP,3501608,Americana,Bairro da Lagoa,bairro da lagoa,-22.7567748,-47.3101435,brasil_aberto,True
SP,3501608,Americana,Balneário Riviera,balneario riviera,-22.73920631,-47.23479843,brasil_aberto,True
SP,3501608,Americana,Balneário Salto Grande,balneario salto grande,-22.7411411,-47.24231229999999,brasil_aberto,True
SP,3501608,Americana,Barroca,barroca,-22.7380303,-47.3340223,brasil_aberto,True
SP,3501608,Americana,Boa Esperança,boa esperanca,-22.718411,-47.2812723,brasil_aberto,True
SP,3501608,Americana,Bom Recreio,bom recreio,-22.72980309,-47.29333496,brasil_aberto,True
SP,3501608,Americana,Bosque da Saúde,bosque da saude,-22.7454825,-47.309734,brasil_aberto,True
SP,3501608,Americana,Bosque dos Ipês,bosque dos ipes,-22.73210335,-47.26420975,brasil_aberto,True
SP,3501608,Americana,Brieds,brieds,,,brasil_aberto,True
SP,3501608,Americana,Campo Limpo,campo limpo,-22.73427391,-47.30609131,brasil_aberto,True
SP,3501608,Americana,Campo Verde,campo verde,-22.7212732,-47.3076664,brasil_aberto,True
SP,3501608,Americana,Carioba,carioba,-22.7141028,-47.3296733,brasil_aberto,True
SP,3501608,Americana,Cariobinha,cariobinha,-22.72459602,-47.31764221,brasil_aberto,True
SP,3501608,Americana,Catharina Zanaga,catharina zanaga,-22.73239326,-47.34646225,brasil_aberto,True
SP,3501608,Americana,Cechino,cechino,,,brasil_aberto,True
SP,3501608,Americana,Centro,centro,-22.73810196,-47.32926559,brasil_aberto,True
SP,3501608,Americana,Chácara Girassol,chacara girassol,-22.74123955,-47.3352623,brasil_aberto,True
SP,3501608,Americana,Chácara Letônia,chacara letonia,-22.73085976,-47.2896347,brasil_aberto,True
SP,3501608,Americana,Chácara Lucília,chacara lucilia,-22.70782852,-47.27262878,brasil_aberto,True
SP,3501608,Americana,Chácara Machadinho I,chacara machadinho i,-22.73682785,-47.32197952,brasil_aberto,True
SP,3501608,Americana,Chácara Machadinho II,chacara machadinho ii,-22.74287605,-47.32017899,brasil_aberto,True
SP,3501608,Americana,Chácara Machado,chacara machado,-22.7369302,-47.2359036,brasil_aberto,True
SP,3501608,Americana,Chácara Mantovani,chacara mantovani,-22.7216345,-47.2855273,brasil_aberto,True
SP,3501608,Americana,Chácara Rodrigues,chacara rodrigues,-22.73638916,-47.34178162,brasil_aberto,True
SP,3501608,Americana,Chácaras Alto da Represa,chacaras alto da represa,-22.718411,-47.2812723,brasil_aberto,True
SP,3501608,Americana,Chácaras São Francisco,chacaras sao francisco,-22.718411,-47.2812723,brasil_aberto,True
SP,3501608,Americana,Cidade Jardim I,cidade jardim i,,,brasil_aberto,True
SP,3501608,Americana,Cidade Jardim II,cidade jardim ii,,,brasil_aberto,True
SP,3501608,Americana,Conserva,conserva,-22.74567413,-47.32487488,brasil_aberto,True
SP,3501608,Americana,Fazenda Machadinho,fazenda machadinho,-22.74318695,-47.32342911,brasil_aberto,True
SP,3501608,Americana,Fazenda Santa Lúcia,fazenda santa lucia,-22.74416161,-47.24742508,brasil_aberto,True
SP,3501608,Americana,Fazendinha,fazendinha,-23.56669617,-46.85106277,brasil_aberto,True
SP,3501608,Americana,Iate Clube de Americana,iate clube de americana,-22.73162079,-47.26876831,brasil_aberto,True
SP,3501608,Americana,Iate Clube de Campinas,iate clube de campinas,-22.73162079,-47.26876831,brasil_aberto,True
SP,3501608,Americana,Industrial Maria Joana Crivelloni Abrão,industrial maria joana crivelloni abrao,-22.7527573,-47.2954078,brasil_aberto,True
SP,3501608,Americana,Industrial Sigisfredo Boer,industrial sigisfredo boer,-22.75127029,-47.29535294,brasil_aberto,True
SP,3501608,Americana,Jardim Alvorada,jardim alvorada,-22.7580255,-47.3071929,brasil_aberto,True
SP,3501608,Americana,Jardim Amélia,jardim amelia,-22.76004219,-47.35780334,brasil_aberto,True
SP,3501608,Americana,Jardim América,jardim america,-22.74661064,-47.2589035,brasil_aberto,True
SP,3501608,Americana,Jardim América II,jardim america ii,-22.7337445,-47.3015035,brasil_aberto,True
SP,3501608,Americana,Jardim Bela Vista,jardim bela vista,-22.73157501,-47.3373909,brasil_aberto,True
SP,3501608,Americana,Jardim Bertoni,jardim bertoni,-22.7373085,-47.28005219,brasil_aberto,True
SP,3501608,Americana,Jardim Boer I,jardim boer i,-22.7394906,-47.2893534,brasil_aberto,True
SP,3501608,Americana,Jardim Boer II,jardim boer ii,-22.7418584,-47.2847118,brasil_aberto,True
SP,3501608,Americana,Jardim Brasil,jardim brasil,-22.71285439,-47.29333496,brasil_aberto,True
SP,3501608,Americana,Jardim Brasília,jardim brasilia,-22.76452065,-47.36062241,brasil_aberto,True
SP,3501608,Americana,Jardim Campo Belo,jardim campo belo,-22.75092125,-47.26202393,brasil_aberto,True
SP,3501608,Americana,Jardim Colina,jardim colina,,,brasil_aberto,True
SP,3501608,Americana,Jardim Dona Judith,jardim dona judith,-22.73795128,-47.34861755,brasil_aberto,True
SP,3501608,Americana,Jardim Esplanada,jardim esplanada,-18.85601616,-41.93732834,brasil_aberto,True
SP,3501608,Americana,Jardim Girassol,jardim girassol,,,brasil_aberto,True
SP,3501608,Americana,Jardim Glória,jardim gloria,-22.7556105,-47.3375888,brasil_aberto,True
SP,3501608,Americana,Jardim Governador Mário Covas II,jardim governador mario covas ii,-22.70580292,-47.37018585,brasil_aberto,True
SP,3501608,Americana,Jardim Governador Mário Covas III,jardim governador mario covas iii,-22.70378876,-47.37029266,brasil_aberto,True
SP,3501608,Americana,Jardim Guanabara,jardim guanabara,-22.7206974,-47.33269119,brasil_aberto,True
SP,3501608,Americana,Jardim Helena,jardim helena,-22.73007202,-47.29500198,brasil_aberto,True
SP,3501608,Americana,Jardim Imperador,jardim imperador,-22.75990105,-47.26430893,brasil_aberto,True
SP,3501608,Americana,Jardim Ipiranga,jardim ipiranga,-22.74864388,-47.35500336,brasil_aberto,True
SP,3501608,Americana,Jardim Jacyra,jardim jacyra,-22.34827423,-46.94480133,brasil_aberto,True
SP,3501608,Americana,Jardim Lizandra,jardim lizandra,-22.7234993,-47.33154678,brasil_aberto,True
SP,3501608,Americana,Jardim Luciane,jardim luciane,-22.7337766,-47.2999557,brasil_aberto,True
SP,3501608,Americana,Jardim Marcia Cristina,jardim marcia cristina,-22.754282,-47.32605362,brasil_aberto,True
SP,3501608,Americana,Jardim Mirandola,jardim mirandola,-22.7447025,-47.2851744,brasil_aberto,True
SP,3501608,Americana,Jardim Miriam,jardim miriam,-22.74428368,-47.3515892,brasil_aberto,True
SP,3501608,Americana,Jardim Nielsen Ville,jardim nielsen ville,-22.77028275,-47.33385849,brasil_aberto,True
SP,3501608,Americana,Jardim Nossa Senhora Aparecida,jardim nossa senhora aparecida,-22.70418167,-47.29447556,brasil_aberto,True
SP,3501608,Americana,Jardim Nossa Senhora do Carmo,jardim nossa senhora do carmo,-22.72434998,-47.3133812,brasil_aberto,True
SP,3501608,Americana,Jardim Nova Aliança,jardim nova alianca,-22.73632431,-47.24797821,brasil_aberto,True
SP,3501608,Americana,Jardim Novo Girassol,jardim novo girassol,-22.75004387,-47.3408699,brasil_aberto,True
SP,3501608,Americana,Jardim Novo Horizonte,jardim novo horizonte,-22.72087097,-47.33455658,brasil_aberto,True
SP,3501608,Americana,Jardim Novo Paraíso,jardim novo paraiso,-22.71767235,-47.28554153,brasil_aberto,True
SP,3501608,Americana,Jardim Pau Brasil,jardim pau brasil,-22.72595406,-47.32471466,brasil_aberto,True
SP,3501608,Americana,Jardim Paulista,jardim paulista,-22.75667953,-47.34708405,brasil_aberto,True
SP,3501608,Americana,Jardim Paulistano,jardim paulistano,-22.72565079,-47.33727646,brasil_aberto,True
SP,3501608,Americana,Jardim Paz,jardim paz,-22.70830345,-47.36338425,brasil_aberto,True
SP,3501608,Americana,Jardim Phillipson Park,jardim phillipson park,-22.7212445,-47.2832702,brasil_aberto,True
SP,3501608,Americana,Jardim Portal da Colina,jardim portal da colina,-22.7514628,-47.3130696,brasil_aberto,True
SP,3501608,Americana,Jardim Primavera,jardim primavera,-22.76801491,-47.34296036,brasil_aberto,True
SP,3501608,Americana,Jardim Progresso,jardim progresso,-22.7344841,-47.3030824,brasil_aberto,True
SP,3501608,Americana,Jardim Recanto,jardim recanto,-22.7617054,-47.3210144,brasil_aberto,True
SP,3501608,Americana,Jardim Residencial Dona Rosa,jardim residencial dona rosa,-22.7083583,-47.3702328,brasil_aberto,True
SP,3501608,Americana,Jardim Santa Eliza,jardim santa eliza,-22.71933174,-47.2908287,brasil_aberto,True
SP,3501608,Americana,Jardim Santa Lúcia,jardim santa lucia,-22.7309831,-47.251172,brasil_aberto,True
SP,3501608,Americana,Jardim Santa Mônica,jardim santa monica,-22.7316871,-47.3348132,brasil_aberto,True
SP,3501608,Americana,Jardim Santana,jardim santana,-22.7370224,-47.32752609,brasil_aberto,True
SP,3501608,Americana,Jardim Santo Antônio,jardim santo antonio,-22.74648476,-47.24269104,brasil_aberto,True
SP,3501608,Americana,Jardim São Domingos,jardim sao domingos,-22.73274803,-47.33890915,brasil_aberto,True
SP,3501608,Americana,Jardim São Domingos I,jardim sao domingos i,-22.7265619,-47.3450581,brasil_aberto,True
SP,3501608,Americana,Jardim São Domingos II,jardim sao domingos ii,-23.03649902,-45.57689667,brasil_aberto,True
SP,3501608,Americana,Jardim São José,jardim sao jose,-22.76478386,-47.34366989,brasil_aberto,True
SP,3501608,Americana,Jardim São Paulo,jardim sao paulo,-22.75653648,-47.34293747,brasil_aberto,True
SP,3501608,Americana,Jardim São Roque,jardim sao roque,-22.7354551,-47.2503783,brasil_aberto,True
SP,3501608,Americana,Jardim São Vito,jardim sao vito,-22.72550774,-47.3086853,brasil_aberto,True
SP,3501608,Americana,Jardim Terramérica I,jardim terramerica i,-22.76615334,-47.35868073,brasil_aberto,True
SP,3501608,Americana,Jardim Terramérica II,jardim terramerica ii,-22.76184464,-47.35041046,brasil_aberto,True
SP,3501608,Americana,Jardim Terramérica III,jardim terramerica iii,-22.76591301,-47.35167694,brasil_aberto,True
SP,3501608,Americana,Jardim Thelja,jardim thelja,-22.758751,-47.3117475,brasil_aberto,True
SP,3501608,Americana,Jardim Tonica,jardim tonica,-22.7500441,-47.3408695,brasil_aberto,True
SP,3501608,Americana,Jardim Trípoli,jardim tripoli,-22.7468847,-47.3046436,brasil_aberto,True
SP,3501608,Americana,Jardim Werner Plaas,jardim werner plaas,-22.7509734,-47.3060747,brasil_aberto,True
SP,3501608,Americana,Jardim Werner Plaas VII,jardim werner plaas vii,-22.74735451,-47.31842041,brasil_aberto,True
SP,3501608,Americana,Jardim da Balsa I,jardim da balsa i,-22.7007322,-47.3788432,brasil_aberto,True
SP,3501608,Americana,Jardim da Balsa II,jardim da balsa ii,-22.70252991,-47.38129044,brasil_aberto,True
SP,3501608,Americana,Jardim da Mata,jardim da mata,-22.74842262,-47.24184799,brasil_aberto,True
SP,3501608,Americana,Jardim das Flores,jardim das flores,-22.76502991,-47.32907867,brasil_aberto,True
SP,3501608,Americana,Jardim das Orquídeas,jardim das orquideas,-22.70361519,-47.37245941,brasil_aberto,True
SP,3501608,Americana,Jardim dos Lírios,jardim dos lirios,-22.7607708,-47.32641602,brasil_aberto,True
SP,3501608,Americana,Leitão,leitao,-22.7340385,-47.3353939,brasil_aberto,True
SP,3501608,Americana,Loteamento Industrial 9 de Julho,loteamento industrial 9 de julho,,,brasil_aberto,True
SP,3501608,Americana,Loteamento Industrial Machadinho,loteamento industrial machadinho,-22.74982262,-47.31706238,brasil_aberto,True
SP,3501608,Americana,Loteamento Industrial Nossa Senhora de Fátima,loteamento industrial nossa senhora de fatima,,,brasil_aberto,True
SP,3501608,Americana,Loteamento Jardim Progresso,loteamento jardim progresso,,,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Industrial João Santarosa,loteamento residencial industrial joao santarosa,-22.81991386,-47.2708168,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Jardim Esperança,loteamento residencial jardim esperanca,-22.747862,-47.2853243,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Jardim Florbela,loteamento residencial jardim florbela,-22.7343438,-47.2619895,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Jardim Jacyra,loteamento residencial jardim jacyra,-22.7692458,-47.3452297,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Jardim Villagio,loteamento residencial jardim villagio,-22.7213817,-47.2874717,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Jardim Villagio II,loteamento residencial jardim villagio ii,-22.7260913,-47.2844071,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Jardim dos Ipês Amarelos,loteamento residencial jardim dos ipes amarelos,-22.7259603,-47.3246699,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial Jardim dos Pinheiros,loteamento residencial jardim dos pinheiros,-22.7231893,-47.326247,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial de Interesse Social Vila Nova Esperança - ASTA 4,loteamento residencial de interesse social vila nova esperanca - asta 4,-22.75054169,-47.247612,brasil_aberto,True
SP,3501608,Americana,Loteamento Residencial e Comercial Bairro Pacaembu,loteamento residencial e comercial bairro pacaembu,,,brasil_aberto,True
SP,3501608,Americana,Monte Carlo,monte carlo,-22.73597527,-47.23768997,brasil_aberto,True
SP,3501608,Americana,Morada do Sol,morada do sol,-22.71742821,-47.3493309,brasil_aberto,True
SP,3501608,Americana,Nossa Senhora de Fátima,nossa senhora de fatima,-22.7418163,-47.3109717,brasil_aberto,True
SP,3501608,Americana,Nova Americana,nova americana,-22.75745964,-47.32129669,brasil_aberto,True
SP,3501608,Americana,Olho D'Água,olho d'agua,-22.73714638,-47.24128723,brasil_aberto,True
SP,3501608,Americana,Paraíso,paraiso,-22.74409676,-47.34131622,brasil_aberto,True
SP,3501608,Americana,Parque Dom Pedro II,parque dom pedro ii,-22.74591064,-47.23819351,brasil_aberto,True
SP,3501608,Americana,Parque Gramado,parque gramado,-22.7224102,-47.36187363,brasil_aberto,True
SP,3501608,Americana,Parque Ideal,parque ideal,-22.75004387,-47.3408699,brasil_aberto,True
